DB_ID,INDEX
DB05039,1085
DB05099,671
DB05239,1249
DB05246,101
DB05259,1451
DB05271,228
DB05294,242
DB05332,1162
DB05351,979
DB05381,662
DB05521,1237
DB05528,1233
DB05541,668
DB05676,1461
DB05687,1158
DB05773,773
DB05812,1230
DB05829,1345
DB05889,766
DB05990,967
DB06016,536
DB06043,864
DB06081,292
DB06144,1113
DB06145,1115
DB06148,1368
DB06149,729
DB06152,636
DB06153,635
DB06155,634
DB06168,529
DB06176,411
DB06186,963
DB06196,438
DB06201,190
DB06203,191
DB06204,187
DB06206,189
DB06207,188
DB06209,186
DB06210,311
DB06211,312
DB06212,309
DB06213,310
DB06216,313
DB06218,1442
DB06219,96
DB06228,1428
DB06230,62
DB06237,63
DB06262,1050
DB06267,1049
DB06268,1048
DB06271,1142
DB06273,1143
DB06287,865
DB06290,951
DB06292,950
DB06335,1240
DB06402,193
DB06403,1062
DB06404,1063
DB06414,1148
DB06415,1149
DB06480,427
DB06589,317
DB06594,225
DB06595,224
DB06602,255
DB06603,252
DB06605,850
DB06607,851
DB06608,848
DB06612,960
DB06616,959
DB06626,1017
DB06636,732
DB06637,733
DB06643,1229
DB06655,1340
DB06663,1059
DB06674,1146
DB06681,240
DB06684,1438
DB06692,84
DB06693,343
DB06695,341
DB06696,338
DB06697,83
DB06698,81
DB06699,82
DB06700,745
DB06701,746
DB06702,747
DB06704,748
DB06708,749
DB06710,640
DB06711,639
DB06716,642
DB06717,641
DB06719,643
DB06723,952
DB06724,947
DB06725,948
DB06736,863
DB06738,319
DB06754,322
DB06761,1353
DB06767,533
DB06769,534
DB06772,397
DB06773,396
DB06774,399
DB06777,400
DB06779,661
DB06782,1329
DB06788,1327
DB06789,520
DB06791,1350
DB06792,1341
DB06799,1334
DB06800,876
DB06802,875
DB06803,874
DB06813,316
DB06819,332
DB06822,649
DB06824,379
DB06825,650
DB06826,199
DB08798,1197
DB08800,1452
DB08801,1450
DB08804,1235
DB08806,1236
DB08808,1447
DB08811,1346
DB08813,1278
DB08814,1348
DB08815,1445
DB08816,1347
DB08819,1344
DB08820,1066
DB08822,232
DB08826,1067
DB08827,235
DB08828,1068
DB08860,750
DB08864,666
DB08867,665
DB08868,664
DB08869,663
DB08870,1323
DB08871,769
DB08872,770
DB08873,771
DB08874,767
DB08875,1064
DB08877,1321
DB08879,1046
DB08880,961
DB08881,442
DB08882,962
DB08883,443
DB08884,439
DB08886,441
DB08887,440
DB08889,444
DB08893,550
DB08895,553
DB08896,551
DB08897,552
DB08898,555
DB08899,556
DB08900,785
DB08901,786
DB08903,1444
DB08904,782
DB08905,1441
DB08906,783
DB08907,784
DB08908,787
DB08909,1448
DB08910,623
DB08911,681
DB08912,680
DB08916,679
DB08917,678
DB08918,683
DB08922,1226
DB08930,883
DB08931,882
DB08932,885
DB08933,884
DB08934,887
DB08935,886
DB08964,1352
DB09020,1360
DB09026,1361
DB09027,1362
DB09030,229
DB09033,1257
DB09034,1261
DB09035,1260
DB09036,1259
DB09037,1258
DB09038,1262
DB09039,237
DB09042,1166
DB09043,1071
DB09045,1165
DB09046,1164
DB09048,1168
DB09049,1075
DB09052,1084
DB09053,1083
DB09059,1076
DB09060,988
DB09061,989
DB09063,990
DB09065,985
DB09066,986
DB09067,987
DB09068,984
DB09070,898
DB09071,1339
DB09072,1330
DB09073,1325
DB09074,896
DB09075,895
DB09076,894
DB09077,893
DB09078,892
DB09079,891
DB09080,792
DB09083,1356
DB09085,794
DB09090,692
DB09091,691
DB09097,690
DB09099,693
DB09100,1272
DB09101,247
DB09102,246
DB09104,250
DB09105,249
DB09107,248
DB09112,351
DB09113,352
DB09117,354
DB09118,355
DB09119,356
DB09122,456
DB09123,455
DB09124,454
DB09125,453
DB09128,452
DB09130,568
DB09134,569
DB09135,570
DB09143,1150
DB09146,323
DB09153,1374
DB09154,1372
DB09156,1373
DB09166,1072
DB09167,80
DB09183,315
DB09194,1018
DB09204,1070
DB09209,330
DB09210,970
DB09211,969
DB09212,968
DB09214,973
DB09215,972
DB09216,971
DB09220,1251
DB09221,1252
DB09223,1250
DB09224,827
DB09225,1254
DB09227,1253
DB09228,1255
DB09230,1069
DB09231,1156
DB09232,1157
DB09235,1154
DB09236,1155
DB09238,964
DB09241,676
DB09242,677
DB09244,674
DB09245,675
DB09255,561
DB09256,560
DB09258,564
DB09262,881
DB09264,879
DB09265,880
DB09267,878
DB09268,877
DB09270,774
DB09272,775
DB09273,1369
DB09274,776
DB09276,778
DB09277,777
DB09278,779
DB09280,430
DB09281,869
DB09282,431
DB09285,432
DB09286,433
DB09287,871
DB09288,434
DB09289,873
DB09291,233
DB09292,324
DB09293,230
DB09295,327
DB09296,326
DB09297,325
DB09300,1026
DB09301,1160
DB09302,1161
DB09320,978
DB09330,413
DB09331,1073
DB09338,422
DB09352,234
DB09381,554
DB09414,361
DB09449,1020
DB09477,724
DB09481,983
DB09499,1297
DB09555,1215
DB09561,1322
DB09570,1419
DB11093,1281
DB11095,1280
DB11110,148
DB11124,15
DB11126,146
DB11130,1028
DB11133,1397
DB11135,1021
DB11156,578
DB11181,872
DB11235,4
DB11256,1283
DB11358,340
DB11362,672
DB11363,673
DB11431,236
DB11560,966
DB11569,818
DB11574,563
DB11575,562
DB11581,447
DB11586,448
DB11596,412
DB11598,342
DB11609,870
DB11619,965
DB11621,669
DB11638,772
DB11641,1457
DB11672,93
DB11699,320
DB11714,682
DB11753,1114
DB11760,547
DB11834,949
DB11859,1136
DB11945,934
DB11952,262
DB11989,1151
DB12023,121
DB12245,139
DB12278,1349
DB12332,112
DB12532,530
DB12598,585
DB12831,1256
DB13025,1052
DB13092,708
DB13139,1211
DB13145,744
